193.112.242.26 - - [14/Apr/2019:06:42:19 +0000] "GET /htdocs.php HTTP/1.1" 404 504 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:20 +0000] "GET /desktop.ini.php HTTP/1.1" 404 509 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:20 +0000] "GET /z.php HTTP/1.1" 404 499 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:20 +0000] "GET /lala.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:21 +0000] "GET /lala-dpr.php HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:23 +0000] "GET /wpc.php HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:23 +0000] "GET /wpo.php HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:23 +0000] "GET /t6nv.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:23 +0000] "GET /muhstik.php HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:24 +0000] "GET /text.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:24 +0000] "GET /wp-config.php HTTP/1.1" 404 507 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:24 +0000] "GET /muhstik.php HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:24 +0000] "GET /muhstik2.php HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:27 +0000] "GET /muhstiks.php HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:27 +0000] "GET /muhstik-dpr.php HTTP/1.1" 404 509 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:27 +0000] "GET /lol.php HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:28 +0000] "GET /uploader.php HTTP/1.1" 404 506 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:31 +0000] "GET /cmd.php HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:31 +0000] "GET /cmv.php HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:33 +0000] "GET /cmdd.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:35 +0000] "GET /knal.php HTTP/1.1" 404 502 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:35 +0000] "GET /cmd.php HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:35 +0000] "GET /shell.php HTTP/1.1" 404 503 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:35 +0000] "GET /appserv.php HTTP/1.1" 404 505 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:36 +0000] "GET /scripts/setup.php HTTP/1.1" 404 511 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:36 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.1" 404 522 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:36 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 522 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:37 +0000] "GET /phpmyadmin/scripts/db___.init.php HTTP/1.1" 404 527 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
193.112.242.26 - - [14/Apr/2019:06:42:39 +0000] "GET /phpMyAdmin/scripts/db___.init.php HTTP/1.1" 404 527 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.91 Safari/537.36"
